Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,8453.59,5450850000.0,1.43156364599e+11,,,
Ethereum,ETH,517.984,1508130000.0,50947383512.2,,,
Ripple,XRP,0.638891,438853000.0,24976949973.3,,,
Bitcoin Cash,BCH,973.487,329666000.0,16581002507.6,,,
Litecoin,LTC,159.07,391971000.0,8867955957.15,,,
Cardano,ADA,0.190763,188725000.0,4945925757.04,,,
EOS,EOS,6.57716,1039660000.0,4908271322.06,,,
NEO,NEO,65.9905,152003000.0,4289382500.0,,,
Stellar,XLM,0.227792,52617500.0,4225300236.99,,,
IOTA,MIOTA,1.27449,34834700.0,3542483550.38,,,
Monero,XMR,202.261,38600700.0,3206632902.2,,,
Dash,DASH,400.945,97263500.0,3192419704.35,,,
NEM,XEM,0.282311,82713200.0,2540798999.72,,,
TRON,TRX,0.0356073,219758000.0,2341115613.93,,,
Tether,USDT,1.00104,2163020000.0,2229456051.94,,,
Ethereum Classic,ETC,18.5991,223407000.0,1872771110.26,,,
VeChain,VEN,3.33252,61705500.0,1719738304.38,,,
Qtum,QTUM,18.3518,239585000.0,1623555924.67,,,
ICON,ICX,3.30318,116479000.0,1278471084.95,,,
Lisk,LSK,11.8923,24129000.0,1226128927.8,,,
OmiseGO,OMG,10.8823,35061500.0,1110457661.05,,,
Nano,NANO,7.64848,39245700.0,1019146875.12,,,
Bitcoin Gold,BTG,59.6716,24261600.0,1008253039.52,,,
Binance Coin,BNB,9.58223,103413000.0,948774921.22,,,
Zcash,ZEC,235.233,47881000.0,832435189.369,,,
DigixDAO,DGD,354.753,30204600.0,709506000.0,,,
Verge,XVG,0.0365509,54500600.0,538866222.697,,,
Populous,PPT,13.974,1181060.0,517094271.822,,,
Steem,STEEM,1.97842,2302430.0,502530071.77,,,
Stratis,STRAT,4.87474,8932880.0,481563022.897,,,
Bytecoin,BCN,0.00256018,2880950.0,470553935.291,,,
Waves,WAVES,4.59457,19863700.0,459457000.0,,,
Siacoin,SC,0.0123794,5023030.0,412156493.042,,,
Maker,MKR,662.456,154163.0,409548695.673,,,
BitShares,BTS,0.154271,7768380.0,402892600.89,,,
Dogecoin,DOGE,0.00343706,5374920.0,390785892.862,,,
RChain,RHOC,1.08071,496198.0,388492034.505,,,
Augur,REP,34.0073,1901830.0,374080300.0,,,
Status,SNT,0.106287,23849400.0,368867310.375,,,
Aeternity,AE,1.57427,3474330.0,366837138.635,,,
Decred,DCR,49.8279,354332.0,348111203.602,,,
Bytom,BTM,0.335597,15996300.0,331234239.0,,,
Aion,AION,2.85166,11476800.0,328853063.208,,,
Waltonchain,WTC,12.1962,3289430.0,303663158.524,,,
Ontology,ONT,1.25223,24783300.0,302083521.036,,,
Komodo,KMD,2.86072,1067090.0,297602229.386,,,
Zilliqa,ZIL,0.0450092,12866000.0,297300482.462,,,
Ardor,ARDR,0.282341,3093270.0,282058516.418,,,
0x,ZRX,0.534914,8527790.0,277919833.37,,,
Hshare,HSR,6.39134,24602900.0,273364468.539,,,
Ark,ARK,2.66897,1926210.0,270664688.866,,,
