Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,11452.1,6042780000.0,1.93545643445e+11,,,
Ethereum,ETH,864.347,1696420000.0,84695301439.8,,,
Ripple,XRP,0.999007,835838000.0,39053138393.0,,,
Bitcoin Cash,BCH,1277.6,366806000.0,21719231940.0,,,
Litecoin,LTC,211.675,568309000.0,11744262358.6,,,
NEO,NEO,118.71,180195000.0,7716150000.0,,,
Cardano,ADA,0.296397,94621200.0,7684705926.25,,,
Stellar,XLM,0.365805,88686100.0,6755730102.02,,,
Monero,XMR,370.285,122172000.0,5846368572.35,,,
EOS,EOS,8.08252,198964000.0,5715934973.87,,,
IOTA,MIOTA,1.88538,28648600.0,5240470804.96,,,
Dash,DASH,617.526,118701000.0,4894973347.81,,,
TRON,TRX,0.0476017,307947000.0,3129725733.76,,,
NEM,XEM,0.347204,51038600.0,3124835999.65,,,
Ethereum Classic,ETC,29.9036,648527000.0,2998882705.42,,,
Tether,USDT,0.998141,2141940000.0,2213019148.75,,,
VeChain,VEN,4.61365,60744300.0,2191118233.35,,,
Nano,NANO,15.0273,59973000.0,2002362016.57,,,
Qtum,QTUM,26.2891,76384900.0,1943429288.76,,,
Lisk,LSK,18.6884,23513400.0,1915145953.1,,,
Bitcoin Gold,BTG,112.297,19558700.0,1893418502.86,,,
OmiseGO,OMG,17.8569,38421200.0,1822163642.58,,,
ICON,ICX,3.5971,16723500.0,1388359607.94,,,
Zcash,ZEC,405.38,64168700.0,1382125374.62,,,
Binance Coin,BNB,10.3095,37881700.0,1020784833.0,,,
DigixDAO,DGD,493.211,50526500.0,986422000.0,,,
Steem,STEEM,3.51994,6165880.0,883432814.145,,,
Verge,XVG,0.0560772,13333000.0,822603380.741,,,
Stratis,STRAT,8.24136,7600570.0,813950422.647,,,
Bytecoin,BCN,0.00423086,4966760.0,777476813.841,,,
Populous,PPT,20.8859,2952480.0,772862405.314,,,
Waves,WAVES,6.79672,22411700.0,679672000.0,,,
RChain,RHOC,1.83513,888426.0,659544386.759,,,
Siacoin,SC,0.0198366,5642740.0,652367808.916,,,
Dogecoin,DOGE,0.00546301,11951100.0,619761758.518,,,
Maker,MKR,994.793,600983.0,615008658.107,,,
BitShares,BTS,0.226843,8812120.0,592033008.84,,,
Status,SNT,0.159537,16207500.0,553670572.086,,,
Decred,DCR,80.071,1192650.0,550172560.488,,,
