Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,11425.9,6482110000.0,1.93123703922e+11,,,
Ethereum,ETH,846.721,1910000000.0,82985149544.5,,,
Ripple,XRP,0.953813,1675420000.0,37286416501.6,,,
Bitcoin Cash,BCH,1251.06,347901000.0,21270224993.2,,,
Litecoin,LTC,208.418,594806000.0,11566841876.5,,,
Cardano,ADA,0.293384,201340000.0,7606587662.72,,,
NEO,NEO,111.163,211251000.0,7225595000.0,,,
Stellar,XLM,0.349494,97375500.0,6454580496.66,,,
Monero,XMR,364.752,130283000.0,5760189681.23,,,
EOS,EOS,7.92128,184501000.0,5624556992.48,,,
IOTA,MIOTA,1.85944,24077400.0,5168369789.42,,,
Dash,DASH,606.835,120652000.0,4811411319.62,,,
NEM,XEM,0.348043,61713500.0,3132386999.65,,,
TRON,TRX,0.0460513,281678000.0,3027789736.15,,,
Ethereum Classic,ETC,26.7458,641209000.0,2682814951.58,,,
Tether,USDT,0.998733,2244070000.0,2214331696.11,,,
VeChain,VEN,4.6314,43904400.0,2200457713.81,,,
Qtum,QTUM,26.2668,109459000.0,1941841798.88,,,
Nano,NANO,14.4579,53042100.0,1926490440.69,,,
Lisk,LSK,18.1905,28881400.0,1864741805.64,,,
Bitcoin Gold,BTG,110.117,22526100.0,1856857392.36,,,
OmiseGO,OMG,17.0267,39582700.0,1737447916.11,,,
ICON,ICX,3.52791,15917900.0,1361654579.27,,,
Zcash,ZEC,389.34,58034700.0,1330197143.62,,,
DigixDAO,DGD,511.759,30196000.0,1023518000.0,,,
Binance Coin,BNB,10.0259,38067400.0,992704462.6,,,
Steem,STEEM,3.42714,7131030.0,860207808.506,,,
Bytecoin,BCN,0.00450954,4755630.0,828696510.685,,,
Verge,XVG,0.0538176,14413400.0,789673636.334,,,
Stratis,STRAT,7.97963,7926170.0,788111079.319,,,
Populous,PPT,20.9867,4939720.0,776592411.224,,,
Waves,WAVES,6.64967,26039400.0,664967000.0,,,
Siacoin,SC,0.0200777,6546410.0,660712336.64,,,
RChain,RHOC,1.7007,1445070.0,611247349.571,,,
Status,SNT,0.172172,102632000.0,597520134.748,,,
Maker,MKR,965.286,914477.0,596766611.294,,,
Dogecoin,DOGE,0.00508884,13430300.0,577383979.71,,,
Decred,DCR,81.1838,1415280.0,558317469.762,,,
BitShares,BTS,0.210091,9717870.0,548331207.27,,,
Aeternity,AE,2.28492,2070350.0,532433137.143,,,
Waltonchain,WTC,20.3082,14482200.0,505637178.46,,,
Augur,REP,45.8085,2374380.0,503893500.0,,,
Electroneum,ETN,0.0743635,2804340.0,471468448.062,,,
0x,ZRX,0.87771,6039160.0,453315080.023,,,
Bytom,BTM,0.450766,23068400.0,444906042.0,,,
Komodo,KMD,4.22515,2607170.0,438786949.836,,,
Veritaseum,VERI,199.602,860322.0,406518503.115,,,
Ark,ARK,4.00307,2483250.0,404491945.482,,,
Dragonchain,DRGN,1.68413,2745550.0,401533541.812,,,
Ardor,ARDR,0.395877,3667390.0,395480923.082,,,
Golem,GNT,0.473703,10163100.0,395192412.186,,,
Hshare,HSR,8.92204,56698500.0,380988182.938,,,
Basic Attenti...,BAT,0.371394,3903480.0,371394000.0,,,
Syscoin,SYS,0.68273,2958890.0,362795252.802,,,
Cryptonex,CNX,7.61934,200261.0,344007944.849,,,
Zilliqa,ZIL,0.0516233,65394000.0,338855505.279,,,
KuCoin Shares,KCS,3.70911,728675.0,337688783.623,,,
Ethos,ETHOS,4.45332,4590320.0,337597145.124,,,
DigiByte,DGB,0.0338449,3014020.0,336129161.639,,,
PIVX,PIVX,5.9061,2408370.0,328986048.373,,,
Gas,GAS,32.9693,3795750.0,324936212.546,,,
MonaCoin,MONA,5.3196,3227160.0,307806285.364,,,
Loopring,LRC,0.539485,2193160.0,306309214.345,,,
Aion,AION,3.17168,2517130.0,304970679.523,,,
Factom,FCT,34.5373,4231030.0,302032211.305,,,
aelf,ELF,1.18062,11101200.0,295155000.0,,,
Byteball Bytes,GBYTE,456.142,2049400.0,294312877.671,,,
FunFair,FUN,0.0616687,2991010.0,283988969.453,,,
QASH,QASH,0.808186,3051530.0,282865100.0,,,
Nebulas,NAS,7.86568,6641680.0,279231640.0,,,
Kyber Network,KNC,2.00455,16954600.0,268875697.631,,,
Particl,PART,30.1224,7466710.0,267723781.449,,,
Revain,R,1.38436,6628210.0,255345202.0,,,
ReddCoin,RDD,0.008567,13871300.0,246508158.269,,,
IOStoken,IOST,0.0345062,40520800.0,234438915.78,,,
Dent,DENT,0.0219475,3777140.0,232967466.196,,,
GXShares,GXS,3.79668,6225990.0,227800800.0,,,
SALT,SALT,4.15273,3721030.0,224920713.619,,,
ZCoin,XZC,50.4575,3953340.0,214159125.909,,,
Power Ledger,POWR,0.566514,4982280.0,206172937.838,,,
Kin,KIN,0.00027184,387779.0,205537560.976,,,
Neblio,NEBL,15.6551,3661520.0,201713926.51,,,
ChainLink,LINK,0.576025,4460280.0,201608750.0,,,
Polymath,POLY,0.83091,1640880.0,199061316.428,,,
Enigma,ENG,2.59224,4545750.0,193993316.146,,,
Blocknet,BLOCK,38.2621,1182900.0,192909541.601,,,
Dentacoin,DCN,0.000591316,190287.0,192311699.948,,,
TenX,PAY,1.82549,4246740.0,191058174.792,,,
Nxt,NXT,0.191116,3120010.0,190924872.821,,,
Bancor,BNT,4.85049,6659540.0,190853851.899,,,
Request Network,REQ,0.290499,2754800.0,186344292.811,,,
Cindicator,CND,0.12698,3377220.0,183610107.44,,,
Emercoin,EMC,4.40567,1086170.0,182586454.175,,,
MaidSafeCoin,MAID,0.394729,2848790.0,178635561.036,,,
Nexus,NXS,3.18882,23302200.0,178496155.652,,,
Iconomi,ICN,1.76322,3076560.0,175855957.826,,,
SmartCash,SMART,0.229603,151359.0,175547464.724,,,
Pillar,PLR,0.770759,357483.0,175258881.063,,,
SingularityNET,AGI,0.363623,540045.0,167804668.77,,,
Vertcoin,VTC,3.731,3330850.0,161210447.125,,,
Gnosis,GNO,140.163,944226.0,154822648.17,,,
Bitcore,BTX,12.5847,1922670.0,151502782.894,,,
WAX,WAX,0.300399,4313460.0,148083050.066,,,
Storj,STORJ,1.09752,10886100.0,146437146.627,,,
GameCredits,GAME,2.25716,1590370.0,145260326.32,,,
Quantstamp,QSP,0.229711,2666890.0,141803855.493,,,
BitcoinDark,BTCD,109.888,190648.0,141630487.684,,,
Aragon,ANT,5.11703,17431100.0,136624786.496,,,
Raiden Networ...,RDN,2.67132,3754300.0,134017282.116,,,
Enjin Coin,ENJ,0.174435,2222180.0,131906444.854,,,
ZenCash,ZEN,37.8767,5037750.0,126984004.044,,,
Genesis Vision,GVT,33.4545,6426720.0,124677591.618,,,
Ignis,IGNIS,0.162532,3290040.0,123710248.481,,,
Theta Token,THETA,0.211693,23387300.0,123399356.395,,,
