Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,8913.13,6107490000.0,1.50953767951e+11,,,
Ethereum,ETH,539.978,1560310000.0,53121607245.8,,,
Ripple,XRP,0.663607,492498000.0,25943202895.2,,,
Bitcoin Cash,BCH,1023.63,297023000.0,17436974053.5,,,
Litecoin,LTC,167.393,342747000.0,9334027121.36,,,
EOS,EOS,6.94311,753619000.0,5193785875.62,,,
Cardano,ADA,0.187095,157501000.0,4850825262.31,,,
NEO,NEO,69.4822,136109000.0,4516343000.0,,,
Stellar,XLM,0.241032,52622500.0,4470888352.81,,,
IOTA,MIOTA,1.35314,30193400.0,3761093607.14,,,
Dash,DASH,440.728,107334000.0,3510004207.84,,,
Monero,XMR,215.899,38661100.0,3423574420.82,,,
TRON,TRX,0.0434501,260859000.0,2856765537.88,,,
NEM,XEM,0.281492,51243100.0,2533427999.72,,,
Tether,USDT,0.998465,1959800000.0,2283630052.37,,,
Ethereum Classic,ETC,19.1807,188699000.0,1931748351.77,,,
VeChain,VEN,3.45169,56594100.0,1787903384.64,,,
Qtum,QTUM,18.5517,199620000.0,1641284556.63,,,
ICON,ICX,3.95198,602106000.0,1529584266.77,,,
Lisk,LSK,12.1517,23978300.0,1253297105.53,,,
Binance Coin,BNB,12.2374,190689000.0,1211673923.6,,,
OmiseGO,OMG,11.6385,32898600.0,1187622238.7,,,
Nano,NANO,8.02482,43846800.0,1069293536.28,,,
Bitcoin Gold,BTG,61.1392,26521600.0,1033175205.49,,,
Zcash,ZEC,255.908,49582900.0,907483355.925,,,
DigixDAO,DGD,355.172,22571300.0,710344000.0,,,
Verge,XVG,0.0398857,49164100.0,588193618.098,,,
Populous,PPT,15.3329,1967090.0,567379043.969,,,
Steem,STEEM,2.05603,6039640.0,522404703.989,,,
Stratis,STRAT,5.2126,7835460.0,514946077.732,,,
Bytecoin,BCN,0.00273938,4874160.0,503495527.702,,,
Waves,WAVES,4.80996,19693600.0,480996000.0,,,
Maker,MKR,703.082,26328.9,434664817.062,,,
BitShares,BTS,0.165926,5982860.0,433347274.94,,,
Veritaseum,VERI,210.534,1531020.0,428783111.065,,,
Siacoin,SC,0.0125406,4144710.0,417776624.91,,,
RChain,RHOC,1.15451,489001.0,415021549.496,,,
Dogecoin,DOGE,0.00356518,5634780.0,405402647.453,,,
Aeternity,AE,1.72019,3143370.0,400839485.926,,,
Augur,REP,35.9237,2410000.0,395160700.0,,,
Bytom,BTM,0.386019,15851600.0,381000753.0,,,
Decred,DCR,53.1438,563038.0,371582881.884,,,
Status,SNT,0.101367,40809400.0,351792530.138,,,
Zilliqa,ZIL,0.0523481,26678800.0,345776316.53,,,
Ontology,ONT,1.41431,25605900.0,341183125.014,,,
Waltonchain,WTC,13.4377,5089570.0,334574246.511,,,
Aion,AION,2.83934,13693500.0,327432322.398,,,
Komodo,KMD,2.94042,2640320.0,305893480.681,,,
Hshare,HSR,7.01764,24241000.0,300180292.632,,,
0x,ZRX,0.560912,5057550.0,291440810.001,,,
