Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,7947.38,4915210000.0,1.34658713928e+11,,,
Ethereum,ETH,457.217,1560580000.0,45018592282.8,,,
Ripple,XRP,0.585248,286312000.0,22879818338.3,,,
Bitcoin Cash,BCH,888.459,311243000.0,15141073855.0,,,
Litecoin,LTC,135.887,336918000.0,7585751755.52,,,
EOS,EOS,6.32885,861118000.0,4785741551.44,,,
Cardano,ADA,0.16199,82499400.0,4199926156.45,,,
Stellar,XLM,0.220144,30663400.0,4083801597.58,,,
NEO,NEO,57.9882,121523000.0,3769233000.0,,,
IOTA,MIOTA,1.20109,27567900.0,3338466027.61,,,
Monero,XMR,190.991,54613200.0,3031441403.26,,,
TRON,TRX,0.0448573,261840000.0,2949286394.33,,,
Dash,DASH,359.443,86753800.0,2865389764.65,,,
Tether,USDT,1.00101,1819010000.0,2289450825.74,,,
NEM,XEM,0.25355,19064200.0,2281949999.75,,,
Ethereum Classic,ETC,16.3899,167322000.0,1652118899.94,,,
VeChain,VEN,2.93668,52955000.0,1527861364.51,,,
Qtum,QTUM,15.8711,148857000.0,1404289085.02,,,
Binance Coin,BNB,11.9704,87291500.0,1185237185.6,,,
ICON,ICX,2.90438,87313200.0,1124118520.71,,,
OmiseGO,OMG,9.99917,21746400.0,1020340822.31,,,
Lisk,LSK,9.87185,20536400.0,1019219091.87,,,
Bitcoin Gold,BTG,53.5806,12154500.0,905901863.262,,,
Nano,NANO,6.66239,25601300.0,887752069.604,,,
Zcash,ZEC,214.54,45786600.0,767166881.625,,,
Verge,XVG,0.0419211,90599900.0,618921275.893,,,
DigixDAO,DGD,301.551,20311700.0,603102000.0,,,
Ontology,ONT,2.46585,125619000.0,594852902.698,,,
Populous,PPT,14.7688,1944930.0,546505072.398,,,
Bytecoin,BCN,0.00246853,3014270.0,453731470.584,,,
Siacoin,SC,0.0133561,6829730.0,446164826.226,,,
Steem,STEEM,1.74712,1397670.0,445869103.33,,,
Stratis,STRAT,4.4328,7087010.0,437934491.824,,,
Waves,WAVES,4.19094,19590500.0,419094000.0,,,
Bytom,BTM,0.421207,18422000.0,415731309.0,,,
RChain,RHOC,1.10074,343374.0,395807039.189,,,
Bitcoin Diamond,BCD,2.54276,1958860.0,388398643.875,,,
BitShares,BTS,0.14751,5098190.0,385309395.9,,,
Aeternity,AE,1.59622,3631450.0,371951937.998,,,
Augur,REP,33.5781,1494530.0,369359100.0,,,
Maker,MKR,594.86,111139.0,367758971.325,,,
Dogecoin,DOGE,0.00316008,5495020.0,359557386.413,,,
Waltonchain,WTC,13.345,5319340.0,332266185.41,,,
0x,ZRX,0.630104,29573100.0,328489558.063,,,
Decred,DCR,46.5136,256295.0,326437281.591,,,
Status,SNT,0.0934549,23099700.0,324333715.359,,,
Zilliqa,ZIL,0.0483618,13022000.0,320085086.452,,,
Veritaseum,VERI,151.239,435144.0,308020219.7,,,
Komodo,KMD,2.73405,1346000.0,284433093.651,,,
Aion,AION,2.4343,8834420.0,280723161.866,,,
Ardor,ARDR,0.266751,5845440.0,266484114.291,,,
Hshare,HSR,6.19488,17860400.0,265090612.131,,,
Ark,ARK,2.52925,939671.0,256775302.568,,,
Loopring,LRC,0.432575,2371580.0,247464929.284,,,
Cryptonex,CNX,5.44997,180643.0,246255975.643,,,
PIVX,PIVX,4.39977,25447700.0,245743160.235,,,
KuCoin Shares,KCS,2.59915,413547.0,236634610.986,,,
Nebulas,NAS,6.41863,9384490.0,227861365.0,,,
QASH,QASH,0.643383,4046850.0,225184050.0,,,
Basic Attenti...,BAT,0.222906,16893600.0,222906000.0,,,
Factom,FCT,24.7477,1470390.0,216421160.765,,,
DigiByte,DGB,0.0212333,1310750.0,213069659.327,,,
IOStoken,IOST,0.0247506,27041300.0,207905040.0,,,
