Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,9569.58,6286360000.0,1.61855809048e+11,,,
Ethereum,ETH,720.805,1557030000.0,70732481482.9,,,
Ripple,XRP,0.828156,471494000.0,32374238497.8,,,
Bitcoin Cash,BCH,1135.74,509845000.0,19321961307.8,,,
Litecoin,LTC,188.367,668555000.0,10470561986.6,,,
NEO,NEO,90.8945,120588000.0,5908142500.0,,,
Cardano,ADA,0.223592,161236000.0,5797085555.73,,,
Stellar,XLM,0.3045,25967800.0,5632769295.48,,,
Monero,XMR,280.55,73903100.0,4436556144.59,,,
EOS,EOS,6.12046,273916000.0,4417900357.95,,,
Dash,DASH,530.694,99977200.0,4213942083.52,,,
IOTA,MIOTA,1.38947,31371100.0,3862073942.32,,,
NEM,XEM,0.350977,29020700.0,3158792999.65,,,
TRON,TRX,0.0386709,265281000.0,2542541776.4,,,
Tether,USDT,1.00297,2392310000.0,2223725721.74,,,
Ethereum Classic,ETC,21.4953,278114000.0,2159009534.78,,,
VeChain,VEN,3.86955,68589400.0,1876168252.94,,,
Nano,NANO,11.5172,59689800.0,1534647196.58,,,
Lisk,LSK,14.7785,19995400.0,1518020178.32,,,
OmiseGO,OMG,14.5972,30250100.0,1489535536.6,,,
Qtum,QTUM,19.6163,116194000.0,1450466492.97,,,
Bitcoin Gold,BTG,84.5646,18442600.0,1427017992.16,,,
Zcash,ZEC,308.749,55391800.0,1068026470.48,,,
ICON,ICX,2.75959,9877860.0,1065595020.21,,,
Binance Coin,BNB,8.29222,45447300.0,821045871.08,,,
DigixDAO,DGD,357.363,9822690.0,714726000.0,,,
Steem,STEEM,2.55242,4128590.0,644634354.786,,,
Bytecoin,BCN,0.00336041,3582730.0,617564616.2,,,
Populous,PPT,16.5916,1443530.0,613956012.621,,,
Waves,WAVES,5.87563,21503500.0,587563000.0,,,
Verge,XVG,0.0391076,7901880.0,574782638.543,,,
Stratis,STRAT,5.81111,3556040.0,573981181.823,,,
Maker,MKR,828.311,763408.0,512084862.484,,,
RChain,RHOC,1.4202,724513.0,510499250.987,,,
Status,SNT,0.140967,28606500.0,489223688.143,,,
Dogecoin,DOGE,0.00420004,9184290.0,476890437.375,,,
Siacoin,SC,0.0139554,2351730.0,460955570.128,,,
BitShares,BTS,0.169758,8733130.0,443161746.9,,,
Decred,DCR,63.2696,764485.0,437514350.202,,,
Aeternity,AE,1.82625,1741770.0,425553637.198,,,
Waltonchain,WTC,16.8297,11466200.0,419028866.287,,,
Augur,REP,35.9974,3501860.0,395971400.0,,,
Komodo,KMD,3.52966,1127710.0,367020630.474,,,
Bytom,BTM,0.365538,12463700.0,360786006.0,,,
Veritaseum,VERI,174.695,789115.0,355791775.141,,,
0x,ZRX,0.679413,4168990.0,351229801.325,,,
Zilliqa,ZIL,0.0517578,38896100.0,341877192.022,,,
Electroneum,ETN,0.0517793,831407.0,331204329.096,,,
Ark,ARK,3.24935,992242.0,328743699.608,,,
Cryptonex,CNX,6.57596,201346.0,296965142.547,,,
KuCoin Shares,KCS,3.23443,600422.0,294472456.307,,,
Ardor,ARDR,0.286805,1883310.0,286518050.163,,,
Syscoin,SYS,0.532474,1293720.0,283023307.761,,,
