Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,8380.27,5281410000.0,1.41821085827e+11,,,
Ethereum,ETH,604.506,1412830000.0,59381831426.8,,,
Ripple,XRP,0.689208,500813000.0,26942323756.6,,,
Bitcoin Cash,BCH,982.54,470717000.0,16724415145.8,,,
Litecoin,LTC,165.5,434518000.0,9211722737.24,,,
Cardano,ADA,0.178372,97141200.0,4624663426.0,,,
NEO,NEO,68.4124,113759000.0,4446806000.0,,,
Stellar,XLM,0.231109,23720600.0,4275212598.92,,,
EOS,EOS,5.08969,184393000.0,3728615639.91,,,
Monero,XMR,216.639,63007700.0,3429796373.62,,,
Dash,DASH,426.184,97726300.0,3388280744.47,,,
IOTA,MIOTA,1.10528,30023200.0,3072159231.19,,,
NEM,XEM,0.340587,47923400.0,3065282999.66,,,
Tether,USDT,1.00001,1854180000.0,2217162984.93,,,
TRON,TRX,0.0301542,148967000.0,1982584145.54,,,
VeChain,VEN,3.91665,76441100.0,1948536873.45,,,
Ethereum Classic,ETC,17.875,202367000.0,1797380245.38,,,
Lisk,LSK,13.1944,30797200.0,1357583927.16,,,
Nano,NANO,8.86508,30477900.0,1181256743.78,,,
OmiseGO,OMG,11.291,28285000.0,1152162451.96,,,
Qtum,QTUM,15.0712,106146000.0,1114573897.11,,,
Bitcoin Gold,BTG,63.6428,28398700.0,1074605406.06,,,
Binance Coin,BNB,9.12336,97824200.0,903340367.04,,,
ICON,ICX,2.25355,24578600.0,871092882.425,,,
Zcash,ZEC,237.247,43216200.0,829191610.144,,,
DigixDAO,DGD,407.217,69985500.0,814434000.0,,,
Populous,PPT,15.6141,1083840.0,577784576.332,,,
Steem,STEEM,2.06649,2065200.0,524188728.377,,,
Waves,WAVES,5.02858,21787500.0,502858000.0,,,
Bytecoin,BCN,0.00271126,2151580.0,498291378.907,,,
Verge,XVG,0.0328229,14096300.0,483081985.86,,,
Stratis,STRAT,4.62558,5040200.0,456912563.825,,,
Maker,MKR,715.718,708324.0,442476743.165,,,
RChain,RHOC,1.15262,561248.0,414327316.141,,,
Dogecoin,DOGE,0.00352587,6416500.0,400590283.414,,,
BitShares,BTS,0.149496,7792730.0,390337045.92,,,
Siacoin,SC,0.0115981,2038150.0,384554705.279,,,
Decred,DCR,54.7771,615440.0,380593030.812,,,
Aeternity,AE,1.61308,3744080.0,375880663.158,,,
Status,SNT,0.106057,14625700.0,368069099.104,,,
Augur,REP,33.1628,2778710.0,364790800.0,,,
Ontology,ONT,1.49561,69895000.0,360795648.48,,,
Bytom,BTM,0.354806,12265700.0,350193522.0,,,
Waltonchain,WTC,13.3089,5077630.0,331367361.184,,,
Ardor,ARDR,0.303401,6768400.0,303097445.782,,,
Komodo,KMD,2.8881,793803.0,300434195.534,,,
Ark,ARK,2.85892,3383400.0,289550937.301,,,
Zilliqa,ZIL,0.0425722,17208800.0,281203300.647,,,
Aion,AION,2.61524,23783400.0,277160514.029,,,
0x,ZRX,0.504691,4668420.0,261508916.931,,,
Cryptonex,CNX,5.57062,156950.0,251612518.354,,,
Factom,FCT,27.418,2232500.0,239773206.636,,,
Hshare,HSR,5.56361,14342000.0,237823692.833,,,
Electroneum,ETN,0.0364838,2358610.0,235091634.165,,,
Veritaseum,VERI,114.387,468543.0,232965761.945,,,
MonaCoin,MONA,3.8124,1672120.0,221550572.654,,,
DigiByte,DGB,0.0221045,970643.0,220654052.411,,,
KuCoin Shares,KCS,2.39684,954471.0,218215686.28,,,
PIVX,PIVX,3.86563,1158820.0,215598531.68,,,
Syscoin,SYS,0.39778,2665980.0,211475182.126,,,
Golem,GNT,0.249815,6429800.0,208411161.53,,,
Gas,GAS,20.5684,5145800.0,204045451.519,,,
Ethos,ETHOS,2.67092,3975290.0,202923580.593,,,
Basic Attenti...,BAT,0.19864,4457150.0,198640000.0,,,
QASH,QASH,0.563486,3672560.0,197220100.0,,,
Dragonchain,DRGN,0.812093,982883.0,193620788.52,,,
