Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,7995.16,6499020000.0,1.35453401083e+11,,,
Ethereum,ETH,469.223,1825920000.0,46191202895.4,,,
Ripple,XRP,0.583216,439185000.0,22800378868.4,,,
Bitcoin Cash,BCH,921.286,396598000.0,15698828600.8,,,
Litecoin,LTC,142.993,500120000.0,7980239942.28,,,
EOS,EOS,5.66243,734113000.0,4271847944.35,,,
Cardano,ADA,0.158797,143325000.0,4117141020.22,,,
Stellar,XLM,0.214359,44474000.0,3976486270.91,,,
NEO,NEO,56.1627,170382000.0,3650575500.0,,,
IOTA,MIOTA,1.19608,34598000.0,3324540580.89,,,
Monero,XMR,191.705,40607800.0,3042081738.48,,,
Dash,DASH,369.875,107613000.0,2947860562.65,,,
TRON,TRX,0.0430644,310993000.0,2831406460.04,,,
Tether,USDT,1.00171,2571500000.0,2291051824.31,,,
NEM,XEM,0.25433,36940900.0,2288969999.75,,,
Ethereum Classic,ETC,15.9677,218249000.0,1609223209.23,,,
VeChain,VEN,3.0354,57291400.0,1577442254.05,,,
Qtum,QTUM,15.585,242759000.0,1378937671.86,,,
Binance Coin,BNB,11.3013,135425000.0,1118986918.2,,,
ICON,ICX,2.88935,128760000.0,1118301271.81,,,
Lisk,LSK,10.3331,22543900.0,1066860312.7,,,
OmiseGO,OMG,9.856,33113300.0,1005731390.18,,,
Bitcoin Gold,BTG,54.0329,21095400.0,913424747.437,,,
Nano,NANO,6.57536,28808400.0,876155470.994,,,
Zcash,ZEC,216.909,54892400.0,774057390.356,,,
Verge,XVG,0.0486796,167036000.0,718504735.772,,,
DigixDAO,DGD,317.447,48218500.0,634894000.0,,,
Populous,PPT,14.6477,1295320.0,542023884.741,,,
Siacoin,SC,0.0140672,14919500.0,469636461.407,,,
Stratis,STRAT,4.61855,9262120.0,456279524.339,,,
Steem,STEEM,1.7545,2585080.0,446983869.947,,,
Bytecoin,BCN,0.00240952,3806110.0,442881750.789,,,
Ontology,ONT,1.72346,75634100.0,415761373.84,,,
Waves,WAVES,4.13658,17565500.0,413658000.0,,,
RChain,RHOC,1.12227,661323.0,403535101.044,,,
Bitcoin Diamond,BCD,2.60449,9590560.0,397827708.469,,,
BitShares,BTS,0.145374,7376140.0,379715434.26,,,
Maker,MKR,613.112,238668.0,379042864.585,,,
Bytom,BTM,0.380831,23779500.0,375880197.0,,,
Aeternity,AE,1.56223,2701070.0,364031572.151,,,
Dogecoin,DOGE,0.00317577,5985650.0,361298822.12,,,
Augur,REP,32.6928,2482360.0,359620800.0,,,
Veritaseum,VERI,173.92,386540.0,354213374.925,,,
Decred,DCR,47.2729,575658.0,331487216.028,,,
Waltonchain,WTC,13.2422,5918580.0,329706652.712,,,
Status,SNT,0.0901889,26986600.0,312999115.308,,,
Zilliqa,ZIL,0.0467509,18014700.0,309423261.09,,,
0x,ZRX,0.594033,51618800.0,309147944.168,,,
Aion,AION,2.52638,10752500.0,291341815.584,,,
Komodo,KMD,2.71909,1606100.0,282868510.212,,,
Hshare,HSR,6.13501,19050100.0,262503871.537,,,
Ark,ARK,2.54908,2301500.0,258733445.141,,,
Ardor,ARDR,0.25702,2631820.0,256762850.205,,,
Cryptonex,CNX,5.50163,176347.0,248581914.245,,,
KuCoin Shares,KCS,2.62317,555870.0,238821465.671,,,
Loopring,LRC,0.40318,5059860.0,230648812.781,,,
Ethos,ETHOS,2.91271,7970860.0,221607954.758,,,
Basic Attenti...,BAT,0.220679,17427900.0,220679000.0,,,
QASH,QASH,0.621933,4717540.0,217676550.0,,,
Nebulas,NAS,6.1041,13900200.0,216695550.0,,,
DigiByte,DGB,0.0214737,2672790.0,215382977.303,,,
Factom,FCT,23.8179,3722120.0,208289964.926,,,
PIVX,PIVX,3.63902,2611260.0,203252505.235,,,
IOStoken,IOST,0.0240112,49523400.0,201694080.0,,,
MonaCoin,MONA,3.44428,1616920.0,200970896.102,,,
